# Data taken from Figs. 10.1 and 10.3 of 40 years of evolution: Darwin's finches on Daphne Major Island by Grant and Grant. Accessed from the Dryad repository, http://dx.doi.org/10.5061/dryad.g6g3h, and munged into this CSV file.
band,species,beak length (mm),beak depth (mm),year
502,fortis,11.2,9.4,1975
503,fortis,10.0,9.1,1975
504,fortis,10.4,8.6,1975
505,fortis,10.8,9.3,1975
506,fortis,11.1,9.2,1975
507,fortis,10.3,8.8,1975
509,fortis,11.1,9.2,1975
510,fortis,9.8,8.3,1975
511,fortis,10.5,8.8,1975
512,fortis,11.0,9.4,1975
513,fortis,11.2,10.4,1975
514,fortis,9.8,8.5,1975
515,fortis,9.8,7.9,1975
516,fortis,9.8,7.9,1975
517,fortis,10.3,10.1,1975
518,fortis,11.3,9.8,1975
519,fortis,10.0,8.3,1975
520,fortis,11.1,9.4,1975
521,fortis,10.0,9.0,1975
522,fortis,10.3,8.4,1975
524,fortis,10.2,8.7,1975
526,fortis,10.4,9.2,1975
527,fortis,11.0,9.5,1975
528,fortis,11.5,10.1,1975
529,fortis,11.8,9.8,1975
560,fortis,10.2,8.5,1975
561,fortis,11.7,10.2,1975
563,fortis,10.1,8.6,1975
564,fortis,10.2,9.3,1975
565,fortis,9.8,8.7,1975
566,fortis,10.6,8.9,1975
567,fortis,10.0,8.4,1975
572,fortis,12.1,10.3,1975
574,fortis,11.1,9.9,1975
576,fortis,10.5,8.9,1975
578,fortis,10.0,9.1,1975
579,fortis,10.2,8.6,1975
601,fortis,9.7,7.8,1975
602,fortis,10.0,8.6,1975
603,fortis,10.7,9.5,1975
604,fortis,11.0,9.5,1975
605,fortis,10.9,10.2,1975
606,fortis,10.5,9.1,1975
607,fortis,10.9,9.7,1975
608,fortis,10.7,9.4,1975
609,fortis,11.9,10.5,1975
610,fortis,10.2,9.0,1975
611,fortis,10.5,9.8,1975
615,fortis,11.2,10.0,1975
616,fortis,10.7,9.6,1975
617,fortis,10.3,9.6,1975
618,fortis,11.6,9.9,1975
619,fortis,10.5,9.3,1975
620,fortis,10.9,9.6,1975
621,fortis,9.8,7.6,1975
622,fortis,10.9,9.2,1975
623,fortis,10.3,8.8,1975
624,fortis,11.7,10.1,1975
625,fortis,11.0,8.9,1975
626,fortis,9.8,9.5,1975
627,fortis,10.4,8.2,1975
628,fortis,10.8,9.7,1975
629,fortis,11.0,9.8,1975
670,fortis,10.6,9.3,1975
671,fortis,11.3,9.8,1975
672,fortis,10.1,8.8,1975
673,fortis,11.4,10.1,1975
674,fortis,11.8,10.5,1975
675,fortis,9.9,8.6,1975
676,fortis,11.0,9.7,1975
677,fortis,10.8,10.0,1975
678,fortis,11.3,9.7,1975
679,fortis,11.1,10.5,1975
680,fortis,11.0,10.4,1975
681,fortis,10.4,9.2,1975
682,fortis,9.1,8.1,1975
683,fortis,10.8,9.4,1975
684,fortis,10.6,8.9,1975
685,fortis,8.7,8.2,1975
686,fortis,10.7,9.3,1975
687,fortis,10.3,8.6,1975
688,fortis,10.5,9.0,1975
689,fortis,9.1,7.6,1975
701,fortis,9.5,8.7,1975
702,fortis,10.8,9.8,1975
703,fortis,10.6,9.4,1975
704,fortis,9.9,9.9,1975
705,fortis,11.5,10.1,1975
706,fortis,11.2,9.8,1975
707,fortis,9.7,7.9,1975
708,fortis,12.2,10.8,1975
709,fortis,9.2,7.9,1975
710,fortis,10.5,10.0,1975
711,fortis,10.5,8.4,1975
712,fortis,10.8,9.5,1975
713,fortis,10.7,8.8,1975
714,fortis,11.8,10.4,1975
715,fortis,9.1,8.1,1975
716,fortis,10.1,9.8,1975
717,fortis,10.0,8.2,1975
719,fortis,11.0,9.5,1975
720,fortis,12.2,10.5,1975
721,fortis,11.4,9.7,1975
723,fortis,10.9,9.6,1975
725,fortis,10.6,9.6,1975
726,fortis,9.3,7.9,1975
780,fortis,10.9,10.1,1975
781,fortis,10.6,9.3,1975
785,fortis,11.0,10.3,1975
786,fortis,9.0,7.9,1975
787,fortis,11.0,9.1,1975
788,fortis,10.4,8.9,1975
789,fortis,10.4,8.3,1975
790,fortis,9.6,9.4,1975
801,fortis,10.6,9.5,1975
802,fortis,10.1,8.5,1975
803,fortis,9.7,8.6,1975
804,fortis,9.6,8.5,1975
805,fortis,10.1,8.2,1975
807,fortis,9.9,7.9,1975
808,fortis,11.0,10.0,1975
809,fortis,10.9,9.4,1975
810,fortis,9.7,8.0,1975
811,fortis,10.0,8.6,1975
812,fortis,10.4,9.0,1975
813,fortis,11.6,9.9,1975
814,fortis,9.6,8.0,1975
815,fortis,10.8,9.6,1975
817,fortis,10.9,9.2,1975
818,fortis,10.2,9.0,1975
818,fortis,10.2,9.0,1975
819,fortis,10.4,9.2,1975
820,fortis,11.0,9.5,1975
821,fortis,10.7,9.2,1975
822,fortis,11.1,9.7,1975
823,fortis,10.8,9.1,1975
824,fortis,10.9,9.4,1975
825,fortis,9.9,8.6,1975
826,fortis,11.8,9.8,1975
827,fortis,9.7,8.0,1975
828,fortis,11.9,10.4,1975
829,fortis,9.6,8.1,1975
830,fortis,10.9,9.9,1975
831,fortis,10.2,8.6,1975
891,fortis,9.9,8.0,1975
892,fortis,11.3,9.0,1975
893,fortis,10.9,9.7,1975
894,fortis,9.8,8.1,1975
895,fortis,10.3,8.8,1975
896,fortis,8.8,7.5,1975
897,fortis,11.6,10.2,1975
898,fortis,9.9,8.2,1975
899,fortis,9.9,8.6,1975
900,fortis,9.9,8.7,1975
902,fortis,10.4,8.6,1975
903,fortis,11.2,9.9,1975
904,fortis,10.8,9.5,1975
905,fortis,9.9,8.4,1975
906,fortis,9.9,8.7,1975
907,fortis,10.2,8.2,1975
908,fortis,10.4,9.2,1975
909,fortis,9.4,8.2,1975
910,fortis,10.2,9.2,1975
911,fortis,11.0,9.3,1975
912,fortis,10.6,8.9,1975
913,fortis,10.5,9.0,1975
914,fortis,10.4,9.1,1975
915,fortis,10.2,8.8,1975
917,fortis,10.2,8.8,1975
919,fortis,11.0,9.6,1975
921,fortis,11.1,10.2,1975
922,fortis,9.7,8.2,1975
923,fortis,10.5,8.9,1975
924,fortis,10.9,9.0,1975
925,fortis,10.7,8.8,1975
926,fortis,11.0,9.9,1975
927,fortis,10.9,9.3,1975
928,fortis,11.2,9.9,1975
929,fortis,11.5,9.5,1975
930,fortis,10.8,10.0,1975
931,fortis,10.2,8.9,1975
932,fortis,11.0,9.8,1975
933,fortis,10.9,9.9,1975
934,fortis,10.5,8.7,1975
936,fortis,10.8,9.2,1975
941,fortis,9.8,8.2,1975
942,fortis,9.7,7.9,1975
943,fortis,10.3,9.1,1975
944,fortis,10.3,8.3,1975
944,fortis,10.3,8.3,1975
945,fortis,11.6,10.8,1975
945,fortis,11.6,10.8,1975
951,fortis,10.9,9.9,1975
952,fortis,10.6,9.0,1975
954,fortis,11.5,9.3,1975
991,fortis,10.8,9.6,1975
1040,fortis,10.83,9.3,1975
1368,fortis,11.73,10.2,1975
1420,fortis,10.23,8.6,1975
1433,fortis,11.83,10.98,1975
1560,fortis,11.43,10.28,1975
1581,fortis,10.73,9.6,1975
1770,fortis,10.33,9.28,1975
1857,fortis,10.23,9.5,1975
1860,fortis,11.53,9.4,1975
1884,fortis,11.03,9.15,1975
2102,fortis,11.73,9.8,1975
2105,fortis,10.53,9.35,1975
2220,fortis,9.93,8.5,1975
2381,fortis,11.23,10.5,1975
2482,fortis,9.83,8.5,1975
2939,fortis,9.63,8.31,1975
